tr|Q8BYM1|Q8BYM1_MOUSE,0.103448276,0.027586207,0.020689655,0.075862069,0.04137931,0.020689655,0.048275862,0.055172414,0.048275862,0.006896552,0.144827586,0.048275862,0.020689655,0.055172414,0.04137931,0.082758621,0.062068966,0.013793103,0.020689655,0.062068966,5
tr|B2RVB7|B2RVB7_MOUSE,0.115646259,0.013605442,0.027210884,0.054421769,0.006802721,0.088435374,0.013605442,0.034013605,0.054421769,0.034013605,0.102040816,0.081632653,0.040816327,0.068027211,0.020408163,0.074829932,0.06122449,0.006802721,0.040816327,0.06122449,5
sp|Q9I9I3|GLB2_PETMA,0.133333333,0.033333333,0.02,0.073333333,0.006666667,0.04,0.026666667,0.04,0.013333333,0.053333333,0.066666667,0.086666667,0.04,0.053333333,0.04,0.086666667,0.06,0.013333333,0.026666667,0.086666667,5
sp|Q9M630|HBL0_PHYPA,0.144444444,0.033333333,0.038888889,0.044444444,0,0.083333333,0.055555556,0.044444444,0.016666667,0.038888889,0.061111111,0.088888889,0.038888889,0.038888889,0.038888889,0.066666667,0.033333333,0.016666667,0.033333333,0.083333333,5
sp|Q42665|HBPA_CASGL,0.105263158,0.026315789,0.059210526,0.026315789,0.013157895,0.105263158,0.039473684,0.039473684,0.026315789,0.065789474,0.105263158,0.105263158,0.026315789,0.032894737,0.032894737,0.052631579,0.052631579,0.026315789,0.013157895,0.046052632,5
tr|Q38IV9|Q38IV9_XENTR,0.133802817,0.028169014,0.021126761,0.063380282,0,0.035211268,0.021126761,0.070422535,0.056338028,0.042253521,0.11971831,0.063380282,0.007042254,0.063380282,0.021126761,0.133802817,0.028169014,0.014084507,0.021126761,0.056338028,5
tr|Q6S9E2|Q6S9E2_ICTPU,0.094594595,0.02027027,0.060810811,0.040540541,0,0.033783784,0.040540541,0.081081081,0.054054054,0.060810811,0.108108108,0.054054054,0.006756757,0.047297297,0.033783784,0.047297297,0.074324324,0.027027027,0.027027027,0.087837838,5
tr|Q9XTM2|Q9XTM2_9CRUS,0.100574713,0.040229885,0.034482759,0.057471264,0.002873563,0.054597701,0.051724138,0.066091954,0.022988506,0.045977011,0.109195402,0.060344828,0.014367816,0.045977011,0.028735632,0.08045977,0.063218391,0.011494253,0.017241379,0.091954023,5
tr|Q9XTL1|Q9XTL1_9CRUS,0.112068966,0.045977011,0.048850575,0.051724138,0,0.054597701,0.051724138,0.068965517,0.014367816,0.043103448,0.103448276,0.057471264,0.020114943,0.051724138,0.034482759,0.07183908,0.063218391,0.014367816,0.017241379,0.074712644,5
tr|Q3S3T0|Q3S3T0_MAIZE,0.214659686,0.041884817,0.020942408,0.052356021,0.005235602,0.109947644,0.02617801,0.031413613,0.020942408,0.020942408,0.068062827,0.073298429,0.036649215,0.041884817,0.02617801,0.047120419,0.078534031,0.015706806,0.005235602,0.062827225,5
tr|B1H216|B1H216_RAT,0.11971831,0.021126761,0.021126761,0.070422535,0.021126761,0.028169014,0.014084507,0.070422535,0.070422535,0.021126761,0.105633803,0.084507042,0.021126761,0.049295775,0.042253521,0.077464789,0.063380282,0.007042254,0.021126761,0.070422535,5
tr|Q7ZT21|Q7ZT21_DANRE,0.13986014,0.027972028,0.027972028,0.06993007,0,0.027972028,0.013986014,0.048951049,0.041958042,0.041958042,0.125874126,0.090909091,0.034965035,0.041958042,0.041958042,0.076923077,0.041958042,0.013986014,0.020979021,0.06993007,5
tr|O02004|O02004_9CRUS,0.114942529,0.043103448,0.048850575,0.054597701,0.002873563,0.051724138,0.051724138,0.066091954,0.014367816,0.045977011,0.109195402,0.063218391,0.020114943,0.051724138,0.034482759,0.063218391,0.060344828,0.014367816,0.014367816,0.074712644,5
tr|B3F9D7|B3F9D7_GADMO,0.081632653,0.047619048,0.047619048,0.068027211,0.027210884,0.040816327,0.027210884,0.054421769,0.034013605,0.068027211,0.12244898,0.047619048,0.020408163,0.040816327,0.027210884,0.054421769,0.06122449,0.020408163,0.040816327,0.068027211,5
tr|D8MIW2|D8MIW2_CARMA,0.08994709,0.047619048,0.042328042,0.047619048,0,0.063492063,0.021164021,0.079365079,0.021164021,0.031746032,0.111111111,0.052910053,0.026455026,0.042328042,0.052910053,0.047619048,0.079365079,0.026455026,0.010582011,0.105820106,5
tr|C7G3K9|C7G3K9_POLVA,0.101190476,0.035714286,0.053571429,0.05952381,0.005952381,0.083333333,0.047619048,0.047619048,0.071428571,0.071428571,0.077380952,0.06547619,0.011904762,0.053571429,0.035714286,0.029761905,0.05952381,0.011904762,0.011904762,0.06547619,5
tr|B4FSM7|B4FSM7_MAIZE,0.157575758,0.042424242,0.012121212,0.048484848,0.006060606,0.084848485,0.024242424,0.048484848,0.018181818,0.018181818,0.109090909,0.096969697,0.048484848,0.054545455,0.03030303,0.042424242,0.048484848,0.018181818,0.012121212,0.078787879,5
tr|V5QR23|V5QR23_BETVU,0.099415205,0.023391813,0.040935673,0.023391813,0.005847953,0.087719298,0.040935673,0.040935673,0.029239766,0.029239766,0.081871345,0.093567251,0.052631579,0.064327485,0.035087719,0.076023392,0.052631579,0.01754386,0.011695906,0.093567251,5
tr|Q43306|Q43306_CASGL,0.111842105,0.019736842,0.059210526,0.026315789,0.013157895,0.105263158,0.032894737,0.032894737,0.032894737,0.065789474,0.111842105,0.111842105,0.026315789,0.032894737,0.032894737,0.052631579,0.052631579,0.026315789,0.013157895,0.039473684,5
tr|Q9NG75|Q9NG75_9CRUS,0.083857442,0.056603774,0.050314465,0.051013277,0.001397624,0.067784766,0.043326345,0.061495458,0.025157233,0.058001398,0.113207547,0.05870021,0.018169113,0.066387142,0.032145353,0.052410901,0.046121593,0.01048218,0.023060797,0.080363382,5
tr|O97381|O97381_ARTSA,0.083916084,0.055244755,0.046153846,0.053846154,0.002097902,0.067832168,0.044055944,0.065034965,0.025174825,0.056643357,0.116783217,0.058741259,0.013986014,0.065034965,0.032867133,0.055944056,0.043356643,0.01048951,0.020979021,0.081818182,5
tr|O97382|O97382_ARTSA,0.082517483,0.055244755,0.039160839,0.057342657,0.001398601,0.059440559,0.048251748,0.065034965,0.03006993,0.058041958,0.113286713,0.06013986,0.017482517,0.065034965,0.031468531,0.064335664,0.048951049,0.01048951,0.021678322,0.070629371,5
tr|Q45V70|Q45V70_CHITE,0.15,0.03125,0.05,0.05,0.00625,0.0375,0.04375,0.04375,0.03125,0.075,0.09375,0.0625,0.04375,0.05625,0.03125,0.06875,0.0375,0.01875,0.01875,0.05,5
